image_id,fine_label
0,95
1,55
2,95
3,4
4,30
5,95
6,95
7,55
8,30
9,55
10,4
11,55
12,55
13,72
14,4
15,4
16,4
17,55
18,55
19,4
20,55
21,95
22,55
23,30
24,30
25,30
26,30
27,55
28,30
29,72
30,95
31,95
32,72
33,95
34,55
35,55
36,55
37,72
38,72
39,30
40,72
41,55
42,4
43,95
44,55
45,30
46,4
47,4
48,95
49,4
50,4
51,72
52,72
53,55
54,72
55,4
56,72
57,72
58,30
59,30
60,55
61,4
62,30
63,72
64,30
65,55
66,4
67,30
68,55
69,72
70,95
71,72
72,72
73,55
74,30
75,72
76,30
77,72
78,4
79,30
80,30
81,72
82,55
83,30
84,55
85,55
86,30
87,30
88,30
89,30
90,55
91,55
92,95
93,95
94,95
95,72
96,55
97,72
98,30
99,30
100,72
101,4
102,30
103,72
104,95
105,30
106,55
107,72
108,30
109,30
110,95
111,55
112,4
113,95
114,55
115,72
116,4
117,95
118,55
119,55
120,4
121,30
122,4
123,30
124,30
125,95
126,95
127,30
128,72
129,30
130,55
131,55
132,72
133,30
134,55
135,95
136,55
137,30
138,55
139,30
140,55
141,95
142,55
143,95
144,72
145,30
146,95
147,4
148,55
149,55
150,95
151,4
152,95
153,30
154,55
155,95
156,72
157,4
158,55
159,95
160,4
161,4
162,95
163,4
164,30
165,30
166,72
167,4
168,4
169,95
170,30
171,30
172,95
173,4
174,55
175,55
176,4
177,55
178,4
179,30
180,55
181,4
182,95
183,4
184,30
185,55
186,55
187,72
188,95
189,72
190,72
191,30
192,72
193,95
194,4
195,55
196,55
197,4
198,95
199,95
200,4
201,4
202,55
203,95
204,4
205,30
206,4
207,4
208,55
209,72
210,55
211,30
212,30
213,55
214,55
215,72
216,4
217,95
218,95
219,95
220,55
221,55
222,4
223,95
224,4
225,72
226,72
227,72
228,30
229,72
230,72
231,30
232,72
233,4
234,55
235,30
236,55
237,30
238,72
239,4
240,55
241,30
242,95
243,30
244,95
245,95
246,72
247,72
248,72
249,4
250,4
251,30
252,30
253,72
254,72
255,4
256,72
257,4
258,72
259,4
260,72
261,4
262,55
263,72
264,95
265,30
266,72
267,72
268,95
269,30
270,95
271,30
272,55
273,4
274,95
275,72
276,4
277,72
278,72
279,4
280,55
281,72
282,4
283,95
284,55
285,95
286,4
287,72
288,30
289,30
290,4
291,55
292,72
293,4
294,30
295,55
296,72
297,4
298,95
299,55
300,72
301,95
302,72
303,95
304,95
305,55
306,4
307,30
308,72
309,72
310,95
311,4
312,95
313,4
314,55
315,95
316,72
317,72
318,4
319,95
320,4
321,72
322,30
323,72
324,30
325,95
326,30
327,55
328,30
329,30
330,72
331,95
332,4
333,72
334,30
335,55
336,55
337,55
338,4
339,55
340,30
341,30
342,30
343,4
344,30
345,72
346,55
347,95
348,95
349,4
350,55
351,95
352,72
353,30
354,72
355,55
356,4
357,30
358,95
359,55
360,4
361,95
362,30
363,55
364,55
365,4
366,72
367,55
368,4
369,95
370,95
371,4
372,55
373,95
374,55
375,30
376,72
377,95
378,4
379,95
380,30
381,55
382,55
383,95
384,55
385,95
386,95
387,55
388,55
389,4
390,55
391,30
392,30
393,30
394,72
395,55
396,95
397,72
398,30
399,55
400,55
401,95
402,55
403,30
404,4
405,4
406,72
407,55
408,4
409,4
410,72
411,30
412,95
413,55
414,95
415,95
416,30
417,30
418,30
419,72
420,30
421,30
422,72
423,4
424,95
425,55
426,55
427,4
428,55
429,95
430,4
431,4
432,30
433,72
434,30
435,30
436,95
437,72
438,72
439,95
440,30
