ResNet18
epoch: 1 loss: 2.4167436044692994  cross_accuracy: 0.32657747603833864
epoch: 2 loss: 2.0506508080482484  cross_accuracy: 0.38258785942492013
epoch: 3 loss: 1.8523249559402466  cross_accuracy: 0.4252196485623003
epoch: 4 loss: 1.7085553415298462  cross_accuracy: 0.46894968051118213
epoch: 5 loss: 1.6013925375938416  cross_accuracy: 0.5097843450479234
epoch: 6 loss: 1.5079268988132477  cross_accuracy: 0.5231629392971247
epoch: 7 loss: 1.427970388650894  cross_accuracy: 0.5426317891373802
epoch: 8 loss: 1.3623731309890748  cross_accuracy: 0.5640974440894568
epoch: 9 loss: 1.301184406852722  cross_accuracy: 0.5566094249201278
epoch: 10 loss: 1.2549582054138184  cross_accuracy: 0.5778753993610224
epoch: 11 loss: 1.2004256662845612  cross_accuracy: 0.5699880191693291
epoch: 12 loss: 1.1693953710079192  cross_accuracy: 0.5973442492012779
epoch: 13 loss: 1.1186579343318939  cross_accuracy: 0.5942492012779552
epoch: 14 loss: 1.0855658210992813  cross_accuracy: 0.630491214057508
epoch: 15 loss: 1.0560838070392609  cross_accuracy: 0.6164137380191693
epoch: 16 loss: 1.0255945857048034  cross_accuracy: 0.6428714057507987
epoch: 17 loss: 0.9929337477445602  cross_accuracy: 0.6247004792332268
epoch: 18 loss: 0.9678384678363801  cross_accuracy: 0.6464656549520766
epoch: 19 loss: 0.9441263957500458  cross_accuracy: 0.6674321086261981
epoch: 20 loss: 0.914647219634056  cross_accuracy: 0.647064696485623
epoch: 21 loss: 0.8880187482833862  cross_accuracy: 0.6675319488817891
epoch: 22 loss: 0.8677180365800857  cross_accuracy: 0.6519568690095847
epoch: 23 loss: 0.8540026736974716  cross_accuracy: 0.6707268370607029
epoch: 24 loss: 0.8281158292770385  cross_accuracy: 0.6666333865814696
epoch: 25 loss: 0.8032424061059952  cross_accuracy: 0.6792132587859425
epoch: 26 loss: 0.7861327804088593  cross_accuracy: 0.6833067092651757
epoch: 27 loss: 0.7635723804235458  cross_accuracy: 0.6711261980830671
epoch: 28 loss: 0.7489318814277649  cross_accuracy: 0.689297124600639
epoch: 29 loss: 0.7322453530550003  cross_accuracy: 0.6880990415335463
epoch: 30 loss: 0.7108378449678421  cross_accuracy: 0.6883985623003195
Done!
The max accuracy is 0.689297, when epoch is 28.
