ResNet18
epoch: 1 loss: 2.3680059003829954  cross_accuracy: 0.31998801916932906
epoch: 2 loss: 2.0099040223121643  cross_accuracy: 0.413538338658147
epoch: 3 loss: 1.8065694507598877  cross_accuracy: 0.4667531948881789
epoch: 4 loss: 1.6523707775115968  cross_accuracy: 0.48192891373801916
epoch: 5 loss: 1.5356360930919648  cross_accuracy: 0.5274560702875399
epoch: 6 loss: 1.4364012069225311  cross_accuracy: 0.538638178913738
epoch: 7 loss: 1.36050323138237  cross_accuracy: 0.5670926517571885
epoch: 8 loss: 1.2960203080177306  cross_accuracy: 0.582867412140575
epoch: 9 loss: 1.2310788659095764  cross_accuracy: 0.5952476038338658
epoch: 10 loss: 1.180574154853821  cross_accuracy: 0.6129193290734825
epoch: 11 loss: 1.1344140423297882  cross_accuracy: 0.6257987220447284
epoch: 12 loss: 1.0897586966991424  cross_accuracy: 0.621305910543131
epoch: 13 loss: 1.0504345915794373  cross_accuracy: 0.6338857827476039
epoch: 14 loss: 1.0124615437746047  cross_accuracy: 0.6225039936102237
epoch: 15 loss: 0.9894677239179611  cross_accuracy: 0.6461661341853036
epoch: 16 loss: 0.9571649407148362  cross_accuracy: 0.6719249201277955
epoch: 17 loss: 0.9160655098199845  cross_accuracy: 0.6629392971246006
epoch: 18 loss: 0.9020828069210053  cross_accuracy: 0.6718250798722045
epoch: 19 loss: 0.8637495119094849  cross_accuracy: 0.6628394568690096
epoch: 20 loss: 0.8493929678440094  cross_accuracy: 0.6781150159744409
epoch: 21 loss: 0.8242610923528672  cross_accuracy: 0.6873003194888179
epoch: 22 loss: 0.7984842631340027  cross_accuracy: 0.6834065495207667
epoch: 23 loss: 0.7810231650352478  cross_accuracy: 0.6918929712460063
epoch: 24 loss: 0.7599458671092987  cross_accuracy: 0.6950878594249201
epoch: 25 loss: 0.7433630126476288  cross_accuracy: 0.6950878594249201
epoch: 26 loss: 0.7253477279186249  cross_accuracy: 0.6960862619808307
epoch: 27 loss: 0.701594491648674  cross_accuracy: 0.6965854632587859
epoch: 28 loss: 0.6854092094182969  cross_accuracy: 0.7042731629392971
epoch: 29 loss: 0.6710988863825798  cross_accuracy: 0.7024760383386581
epoch: 30 loss: 0.6527855297803878  cross_accuracy: 0.7046725239616614
epoch: 31 loss: 0.6329212952971458  cross_accuracy: 0.703973642172524
epoch: 32 loss: 0.6300787429690361  cross_accuracy: 0.7159544728434505
epoch: 33 loss: 0.6071111767053604  cross_accuracy: 0.7102635782747604
epoch: 34 loss: 0.5927577733397483  cross_accuracy: 0.7180511182108626
epoch: 35 loss: 0.5829498808026313  cross_accuracy: 0.7155551118210862
epoch: 36 loss: 0.5703422976851463  cross_accuracy: 0.6986821086261981
epoch: 37 loss: 0.5633379948794842  cross_accuracy: 0.7166533546325878
epoch: 38 loss: 0.5411566719412804  cross_accuracy: 0.7200479233226837
epoch: 39 loss: 0.5329653598666191  cross_accuracy: 0.7114616613418531
epoch: 40 loss: 0.5183248152494431  cross_accuracy: 0.7102635782747604
epoch: 41 loss: 0.5027742290556431  cross_accuracy: 0.7307308306709265
epoch: 42 loss: 0.5013286963701248  cross_accuracy: 0.7133586261980831
epoch: 43 loss: 0.4871352828860283  cross_accuracy: 0.7215455271565495
epoch: 44 loss: 0.48405979986190795  cross_accuracy: 0.7174520766773163
epoch: 45 loss: 0.46199888521432875  cross_accuracy: 0.7181509584664537
epoch: 46 loss: 0.4562855496287346  cross_accuracy: 0.7265375399361023
epoch: 47 loss: 0.44301185272932053  cross_accuracy: 0.7241413738019169
epoch: 48 loss: 0.4311344294667244  cross_accuracy: 0.7203474440894568
epoch: 49 loss: 0.4278592566549778  cross_accuracy: 0.720547124600639
epoch: 50 loss: 0.4184506191313267  cross_accuracy: 0.7216453674121406
Done!
The max accuracy is 0.730731, when epoch is 41.
