ResNet18
epoch: 1 loss: 2.3540980039596557  cross_accuracy: 0.3339656549520767
epoch: 2 loss: 1.9797031719207763  cross_accuracy: 0.4163338658146965
epoch: 3 loss: 1.7696402641296387  cross_accuracy: 0.4426916932907348
epoch: 4 loss: 1.6231132209777832  cross_accuracy: 0.4840255591054313
epoch: 5 loss: 1.516286176586151  cross_accuracy: 0.5276557507987221
epoch: 6 loss: 1.4230428649425506  cross_accuracy: 0.5522164536741214
epoch: 7 loss: 1.3381122950077058  cross_accuracy: 0.5613019169329073
epoch: 8 loss: 1.271059225654602  cross_accuracy: 0.5704872204472844
epoch: 9 loss: 1.216412160539627  cross_accuracy: 0.5942492012779552
epoch: 10 loss: 1.1651041577339172  cross_accuracy: 0.5971445686900958
epoch: 11 loss: 1.1172622579574585  cross_accuracy: 0.6350838658146964
epoch: 12 loss: 1.0799843289136886  cross_accuracy: 0.6338857827476039
epoch: 13 loss: 1.0409802525281906  cross_accuracy: 0.6390774760383386
epoch: 14 loss: 0.9949182765483856  cross_accuracy: 0.639576677316294
epoch: 15 loss: 0.9666633612632751  cross_accuracy: 0.6560503194888179
epoch: 16 loss: 0.9434775514125824  cross_accuracy: 0.6472643769968051
epoch: 17 loss: 0.9108811128139496  cross_accuracy: 0.6610423322683706
epoch: 18 loss: 0.881239900970459  cross_accuracy: 0.6722244408945687
epoch: 19 loss: 0.8628199621677398  cross_accuracy: 0.6827076677316294
epoch: 20 loss: 0.8364930671453475  cross_accuracy: 0.6770167731629393
epoch: 21 loss: 0.8148711945533752  cross_accuracy: 0.6833067092651757
epoch: 22 loss: 0.7893678650140762  cross_accuracy: 0.6852036741214057
epoch: 23 loss: 0.772611613368988  cross_accuracy: 0.6924920127795527
epoch: 24 loss: 0.7472536865711212  cross_accuracy: 0.6993809904153354
epoch: 25 loss: 0.7386178635835647  cross_accuracy: 0.6828075079872205
epoch: 26 loss: 0.7156615353226662  cross_accuracy: 0.6974840255591054
epoch: 27 loss: 0.6948793864965439  cross_accuracy: 0.7019768370607029
epoch: 28 loss: 0.6864270444273949  cross_accuracy: 0.7009784345047924
epoch: 29 loss: 0.6668958903670311  cross_accuracy: 0.6971845047923323
epoch: 30 loss: 0.6432716558337211  cross_accuracy: 0.7136581469648562
epoch: 31 loss: 0.6278969012737274  cross_accuracy: 0.6995806709265175
epoch: 32 loss: 0.6204387947082519  cross_accuracy: 0.6869009584664537
epoch: 33 loss: 0.6105184529304505  cross_accuracy: 0.6989816293929713
epoch: 34 loss: 0.5880900819778443  cross_accuracy: 0.7193490415335463
epoch: 35 loss: 0.5745968327462673  cross_accuracy: 0.7160543130990416
epoch: 36 loss: 0.5632958471417427  cross_accuracy: 0.7126597444089456
epoch: 37 loss: 0.5534243764519692  cross_accuracy: 0.7159544728434505
epoch: 38 loss: 0.5319849367082119  cross_accuracy: 0.7031749201277955
epoch: 39 loss: 0.5261231417477131  cross_accuracy: 0.71685303514377
epoch: 40 loss: 0.5102195972323418  cross_accuracy: 0.7121605431309904
epoch: 41 loss: 0.5030936238050461  cross_accuracy: 0.7167531948881789
epoch: 42 loss: 0.4919530250966549  cross_accuracy: 0.7180511182108626
epoch: 43 loss: 0.4837541009247303  cross_accuracy: 0.7207468051118211
epoch: 44 loss: 0.4689158929347992  cross_accuracy: 0.7212460063897763
epoch: 45 loss: 0.45592125076651574  cross_accuracy: 0.7247404153354633
epoch: 46 loss: 0.4557777115166187  cross_accuracy: 0.726138178913738
epoch: 47 loss: 0.437218219512701  cross_accuracy: 0.7294329073482428
epoch: 48 loss: 0.42400372183322904  cross_accuracy: 0.727935303514377
epoch: 49 loss: 0.428087335139513  cross_accuracy: 0.7288338658146964
epoch: 50 loss: 0.4160320185422897  cross_accuracy: 0.7127595846645367
Done!
The max accuracy is 0.729433, when epoch is 47.
