ResNet18
epoch: 1 loss: 2.42952264585495  cross_accuracy: 0.32697683706070285
epoch: 2 loss: 2.06536848115921  cross_accuracy: 0.3728035143769968
epoch: 3 loss: 1.8696365420341492  cross_accuracy: 0.4382987220447284
epoch: 4 loss: 1.716868837070465  cross_accuracy: 0.4639576677316294
epoch: 5 loss: 1.6082914060115814  cross_accuracy: 0.4951078274760383
epoch: 6 loss: 1.5115807955265046  cross_accuracy: 0.5199680511182109
epoch: 7 loss: 1.430652351951599  cross_accuracy: 0.5411341853035144
epoch: 8 loss: 1.3627232422828675  cross_accuracy: 0.5567092651757188
epoch: 9 loss: 1.298197757434845  cross_accuracy: 0.5732827476038339
epoch: 10 loss: 1.2430786790847779  cross_accuracy: 0.5831669329073482
epoch: 11 loss: 1.19852321434021  cross_accuracy: 0.6049321086261981
epoch: 12 loss: 1.1596042234420776  cross_accuracy: 0.6041333865814696
epoch: 13 loss: 1.1245744933128357  cross_accuracy: 0.6182108626198083
epoch: 14 loss: 1.0821228373050689  cross_accuracy: 0.6359824281150159
epoch: 15 loss: 1.040407687973976  cross_accuracy: 0.6287939297124601
epoch: 16 loss: 1.0159098378658296  cross_accuracy: 0.6408746006389776
epoch: 17 loss: 0.982391612815857  cross_accuracy: 0.661741214057508
epoch: 18 loss: 0.9521901715993881  cross_accuracy: 0.6466653354632588
epoch: 19 loss: 0.9289210572719574  cross_accuracy: 0.6582468051118211
epoch: 20 loss: 0.9075329018831253  cross_accuracy: 0.6648362619808307
epoch: 21 loss: 0.8795451078414916  cross_accuracy: 0.6556509584664537
epoch: 22 loss: 0.8587231118679046  cross_accuracy: 0.6711261980830671
epoch: 23 loss: 0.8293383115053177  cross_accuracy: 0.6775159744408946
epoch: 24 loss: 0.8208091979980469  cross_accuracy: 0.6688298722044729
epoch: 25 loss: 0.8033836762666702  cross_accuracy: 0.6797124600638977
epoch: 26 loss: 0.7783458575487137  cross_accuracy: 0.6931908945686901
epoch: 27 loss: 0.7565652199625968  cross_accuracy: 0.6846046325878594
epoch: 28 loss: 0.7414918510198593  cross_accuracy: 0.6908945686900958
epoch: 29 loss: 0.7265427550435066  cross_accuracy: 0.6963857827476039
epoch: 30 loss: 0.7082021672844887  cross_accuracy: 0.7014776357827476
epoch: 31 loss: 0.6935933869481087  cross_accuracy: 0.7048722044728435
epoch: 32 loss: 0.6769847845196724  cross_accuracy: 0.702076677316294
epoch: 33 loss: 0.6631837444901466  cross_accuracy: 0.7108626198083067
epoch: 34 loss: 0.6417501337647438  cross_accuracy: 0.6993809904153354
epoch: 35 loss: 0.6331571787595749  cross_accuracy: 0.7056709265175719
epoch: 36 loss: 0.6204472264051437  cross_accuracy: 0.71685303514377
epoch: 37 loss: 0.6026135771393776  cross_accuracy: 0.7053714057507987
epoch: 38 loss: 0.5885636580944061  cross_accuracy: 0.7052715654952076
epoch: 39 loss: 0.5768528594851494  cross_accuracy: 0.72064696485623
epoch: 40 loss: 0.565296391415596  cross_accuracy: 0.7166533546325878
epoch: 41 loss: 0.5579555494189262  cross_accuracy: 0.7194488817891374
epoch: 42 loss: 0.5367374257802964  cross_accuracy: 0.7177515974440895
epoch: 43 loss: 0.535651512414217  cross_accuracy: 0.7208466453674122
epoch: 44 loss: 0.5197497747778893  cross_accuracy: 0.713158945686901
epoch: 45 loss: 0.5086866304397583  cross_accuracy: 0.698382587859425
epoch: 46 loss: 0.5034489149630069  cross_accuracy: 0.716952875399361
epoch: 47 loss: 0.4869186453461647  cross_accuracy: 0.7188498402555911
epoch: 48 loss: 0.483855148768425  cross_accuracy: 0.7202476038338658
epoch: 49 loss: 0.46538680369853974  cross_accuracy: 0.7135583067092651
epoch: 50 loss: 0.4588982359588146  cross_accuracy: 0.7183506389776357
Done!
The max accuracy is 0.720847, when epoch is 42.
