ResNet18
epoch: 1 loss: 2.4159658847808836  cross_accuracy: 0.32617811501597443
epoch: 2 loss: 2.061740161895752  cross_accuracy: 0.34914137380191695
epoch: 3 loss: 1.866236015701294  cross_accuracy: 0.433805910543131
epoch: 4 loss: 1.7177366865158081  cross_accuracy: 0.45796725239616615
epoch: 5 loss: 1.6062305452346801  cross_accuracy: 0.5075878594249201
epoch: 6 loss: 1.5116956035614013  cross_accuracy: 0.5397364217252396
epoch: 7 loss: 1.4264078143119812  cross_accuracy: 0.536741214057508
epoch: 8 loss: 1.3586082498550416  cross_accuracy: 0.5609025559105432
epoch: 9 loss: 1.302217351770401  cross_accuracy: 0.5543130990415336
epoch: 10 loss: 1.2470386142730714  cross_accuracy: 0.5999400958466453
epoch: 11 loss: 1.2067155608654023  cross_accuracy: 0.5806709265175719
epoch: 12 loss: 1.1635042792320252  cross_accuracy: 0.6218051118210862
epoch: 13 loss: 1.1251933950901032  cross_accuracy: 0.619408945686901
epoch: 14 loss: 1.085322246694565  cross_accuracy: 0.6227036741214057
epoch: 15 loss: 1.0528857620716094  cross_accuracy: 0.6209065495207667
epoch: 16 loss: 1.0203279547214508  cross_accuracy: 0.6484624600638977
epoch: 17 loss: 0.9868201826095581  cross_accuracy: 0.6452675718849841
epoch: 18 loss: 0.9669331262111663  cross_accuracy: 0.6564496805111821
epoch: 19 loss: 0.9324440876245499  cross_accuracy: 0.6611421725239617
epoch: 20 loss: 0.911675087761879  cross_accuracy: 0.6668330670926518
epoch: 21 loss: 0.8921891071796417  cross_accuracy: 0.6680311501597445
epoch: 22 loss: 0.861199291753769  cross_accuracy: 0.6720247603833865
epoch: 23 loss: 0.8435079734563827  cross_accuracy: 0.6771166134185304
epoch: 24 loss: 0.8259357652664184  cross_accuracy: 0.6774161341853036
epoch: 25 loss: 0.7981282431840897  cross_accuracy: 0.6725239616613419
epoch: 26 loss: 0.778084556388855  cross_accuracy: 0.6807108626198083
epoch: 27 loss: 0.761310343003273  cross_accuracy: 0.6772164536741214
epoch: 28 loss: 0.7410063613891602  cross_accuracy: 0.691194089456869
epoch: 29 loss: 0.7284228916287422  cross_accuracy: 0.6924920127795527
epoch: 30 loss: 0.7122453980565071  cross_accuracy: 0.6875
Done!
The max accuracy is 0.692492, when epoch is 29.
