ResNet18
epoch: 1 loss: 2.401771045970917  cross_accuracy: 0.27416134185303515
epoch: 2 loss: 2.122653500366211  cross_accuracy: 0.3571285942492013
epoch: 3 loss: 1.9965784594535827  cross_accuracy: 0.3453474440894569
epoch: 4 loss: 1.8925331763267517  cross_accuracy: 0.3912739616613419
epoch: 5 loss: 1.8168748129844665  cross_accuracy: 0.39636581469648563
epoch: 6 loss: 1.736992708826065  cross_accuracy: 0.4536741214057508
epoch: 7 loss: 1.68107578663826  cross_accuracy: 0.44588658146964855
epoch: 8 loss: 1.6226392521858215  cross_accuracy: 0.47673722044728434
epoch: 9 loss: 1.5763924767494202  cross_accuracy: 0.4736421725239617
epoch: 10 loss: 1.5316874329090118  cross_accuracy: 0.5006988817891374
epoch: 11 loss: 1.4810566720485687  cross_accuracy: 0.47803514376996803
epoch: 12 loss: 1.4474352422237395  cross_accuracy: 0.48801916932907347
epoch: 13 loss: 1.4051601296424865  cross_accuracy: 0.4719448881789137
epoch: 14 loss: 1.3733078977584838  cross_accuracy: 0.5245607028753994
epoch: 15 loss: 1.3376788336753844  cross_accuracy: 0.5195686900958466
epoch: 16 loss: 1.3001509546279908  cross_accuracy: 0.527555910543131
epoch: 17 loss: 1.2706166625499726  cross_accuracy: 0.5508186900958466
epoch: 18 loss: 1.245572802400589  cross_accuracy: 0.5287539936102237
epoch: 19 loss: 1.2169010409355163  cross_accuracy: 0.5323482428115016
epoch: 20 loss: 1.1945053105831147  cross_accuracy: 0.5722843450479234
epoch: 21 loss: 1.1625711766719817  cross_accuracy: 0.5742811501597445
epoch: 22 loss: 1.145473136806488  cross_accuracy: 0.5767771565495208
epoch: 23 loss: 1.1134252243041993  cross_accuracy: 0.577076677316294
epoch: 24 loss: 1.090935343837738  cross_accuracy: 0.5812699680511182
epoch: 25 loss: 1.068263611483574  cross_accuracy: 0.553214856230032
epoch: 26 loss: 1.048153240942955  cross_accuracy: 0.579173322683706
epoch: 27 loss: 1.0261378311395646  cross_accuracy: 0.580970447284345
epoch: 28 loss: 1.0056817548036576  cross_accuracy: 0.5768769968051118
epoch: 29 loss: 0.9840643555164337  cross_accuracy: 0.5813698083067093
epoch: 30 loss: 0.960737607717514  cross_accuracy: 0.5891573482428115
Done!
The max accuracy is 0.589157, when epoch is 30.
