ResNet18
epoch: 1 loss: 2.442931291770935  cross_accuracy: 0.27366214057507987
epoch: 2 loss: 2.1938015342712403  cross_accuracy: 0.3405551118210863
epoch: 3 loss: 2.066427813053131  cross_accuracy: 0.3523362619808307
epoch: 4 loss: 1.9887948818206787  cross_accuracy: 0.3653154952076677
epoch: 5 loss: 1.916208280467987  cross_accuracy: 0.3743011182108626
epoch: 6 loss: 1.8594079630851745  cross_accuracy: 0.40654952076677314
epoch: 7 loss: 1.8083177116394042  cross_accuracy: 0.44089456869009586
epoch: 8 loss: 1.7619469411849975  cross_accuracy: 0.43440495207667734
epoch: 9 loss: 1.7183890905380248  cross_accuracy: 0.42392172523961663
epoch: 10 loss: 1.6794640971183776  cross_accuracy: 0.45307507987220447
epoch: 11 loss: 1.6464401315689088  cross_accuracy: 0.448482428115016
epoch: 12 loss: 1.6090079951763152  cross_accuracy: 0.46315894568690097
epoch: 13 loss: 1.580557619190216  cross_accuracy: 0.4731429712460064
epoch: 14 loss: 1.5415674987792969  cross_accuracy: 0.48612220447284343
epoch: 15 loss: 1.5186296119213105  cross_accuracy: 0.49371006389776356
epoch: 16 loss: 1.4808958612918854  cross_accuracy: 0.4952076677316294
epoch: 17 loss: 1.4678088661193847  cross_accuracy: 0.4615615015974441
epoch: 18 loss: 1.4340126094818115  cross_accuracy: 0.48761980830670926
epoch: 19 loss: 1.4158162830352783  cross_accuracy: 0.5038937699680511
epoch: 20 loss: 1.3897332688808441  cross_accuracy: 0.5176717252396166
epoch: 21 loss: 1.3747619515419007  cross_accuracy: 0.5181709265175719
epoch: 22 loss: 1.3459086006641388  cross_accuracy: 0.5264576677316294
epoch: 23 loss: 1.3239565795898438  cross_accuracy: 0.5216653354632588
epoch: 24 loss: 1.30476111869812  cross_accuracy: 0.5242611821086262
epoch: 25 loss: 1.2837449739456177  cross_accuracy: 0.5265575079872205
epoch: 26 loss: 1.2593442891597748  cross_accuracy: 0.5418330670926518
epoch: 27 loss: 1.2463053893566132  cross_accuracy: 0.5162739616613419
epoch: 28 loss: 1.2245576427459717  cross_accuracy: 0.5390375399361023
epoch: 29 loss: 1.2089920073032379  cross_accuracy: 0.5159744408945687
epoch: 30 loss: 1.1929249678134919  cross_accuracy: 0.5269568690095847
Done!
The max accuracy is 0.541833, when epoch is 26.
