ResNet18
epoch: 1 loss: 2.48130483751297  cross_accuracy: 0.29602635782747605
epoch: 2 loss: 2.2097425841331484  cross_accuracy: 0.303314696485623
epoch: 3 loss: 2.07537568025589  cross_accuracy: 0.33985623003194887
epoch: 4 loss: 1.984099814605713  cross_accuracy: 0.36900958466453676
epoch: 5 loss: 1.9192505055427551  cross_accuracy: 0.3976637380191693
epoch: 6 loss: 1.8593589653968812  cross_accuracy: 0.39057507987220447
epoch: 7 loss: 1.8010746128082276  cross_accuracy: 0.42801517571884984
epoch: 8 loss: 1.7580874327659608  cross_accuracy: 0.41463658146964855
epoch: 9 loss: 1.7076140109062194  cross_accuracy: 0.4483825878594249
epoch: 10 loss: 1.6691465580940246  cross_accuracy: 0.455870607028754
epoch: 11 loss: 1.6287575758457185  cross_accuracy: 0.46515575079872207
epoch: 12 loss: 1.5961053093910218  cross_accuracy: 0.4606629392971246
epoch: 13 loss: 1.5656639001369477  cross_accuracy: 0.49291134185303515
epoch: 14 loss: 1.5279689712524414  cross_accuracy: 0.5037939297124601
epoch: 15 loss: 1.5048515234470368  cross_accuracy: 0.48801916932907347
epoch: 16 loss: 1.4819706801891326  cross_accuracy: 0.5076876996805112
epoch: 17 loss: 1.444879545545578  cross_accuracy: 0.4891174121405751
epoch: 18 loss: 1.4187649695396423  cross_accuracy: 0.4580670926517572
epoch: 19 loss: 1.401201486158371  cross_accuracy: 0.501797124600639
epoch: 20 loss: 1.3729345138549804  cross_accuracy: 0.48881789137380194
epoch: 21 loss: 1.351198276567459  cross_accuracy: 0.5022963258785943
epoch: 22 loss: 1.3321507005691529  cross_accuracy: 0.4988019169329074
epoch: 23 loss: 1.3009413956165314  cross_accuracy: 0.5087859424920128
epoch: 24 loss: 1.2896028815269471  cross_accuracy: 0.5228634185303515
epoch: 25 loss: 1.2612312803268433  cross_accuracy: 0.5317492012779552
epoch: 26 loss: 1.241949073600769  cross_accuracy: 0.5302515974440895
epoch: 27 loss: 1.2246430918693543  cross_accuracy: 0.520167731629393
epoch: 28 loss: 1.2083840491771698  cross_accuracy: 0.529452875399361
epoch: 29 loss: 1.186099678516388  cross_accuracy: 0.514576677316294
epoch: 30 loss: 1.1767042842388153  cross_accuracy: 0.5156749201277955
epoch: 31 loss: 1.1508116589546205  cross_accuracy: 0.5242611821086262
epoch: 32 loss: 1.1342581084489822  cross_accuracy: 0.5357428115015974
epoch: 33 loss: 1.1180274023532868  cross_accuracy: 0.5270567092651757
epoch: 34 loss: 1.1006557423114776  cross_accuracy: 0.5400359424920128
epoch: 35 loss: 1.0835448782920838  cross_accuracy: 0.5448282747603834
epoch: 36 loss: 1.0686583632946014  cross_accuracy: 0.5567092651757188
epoch: 37 loss: 1.0523284078121184  cross_accuracy: 0.5581070287539937
epoch: 38 loss: 1.0336829426288605  cross_accuracy: 0.5594049520766773
epoch: 39 loss: 1.0143579520463943  cross_accuracy: 0.549720447284345
epoch: 40 loss: 1.0126700925588608  cross_accuracy: 0.5498202875399361
epoch: 41 loss: 0.9909412827730179  cross_accuracy: 0.5481230031948882
epoch: 42 loss: 0.9734924005270005  cross_accuracy: 0.5383386581469649
epoch: 43 loss: 0.9638300220251084  cross_accuracy: 0.5674920127795527
epoch: 44 loss: 0.9454228427171707  cross_accuracy: 0.5448282747603834
epoch: 45 loss: 0.9396464246034623  cross_accuracy: 0.5549121405750799
epoch: 46 loss: 0.9304958293676376  cross_accuracy: 0.5427316293929713
epoch: 47 loss: 0.9041335918426514  cross_accuracy: 0.5512180511182109
epoch: 48 loss: 0.8967834336996079  cross_accuracy: 0.5260583067092651
epoch: 49 loss: 0.8876990061998368  cross_accuracy: 0.5667931309904153
epoch: 50 loss: 0.8723521444320679  cross_accuracy: 0.5616014376996805
Done!
The max accuracy is 0.567492, when epoch is 43.
