ResNet18
epoch: 1 loss: 2.3605214749336243  cross_accuracy: 0.3218849840255591
epoch: 2 loss: 1.993469172668457  cross_accuracy: 0.4193290734824281
epoch: 3 loss: 1.7879187691688538  cross_accuracy: 0.43939696485623003
epoch: 4 loss: 1.6375999902248382  cross_accuracy: 0.49420926517571884
epoch: 5 loss: 1.5297914581775665  cross_accuracy: 0.5037939297124601
epoch: 6 loss: 1.4306319517612458  cross_accuracy: 0.5485223642172524
epoch: 7 loss: 1.3573916454792023  cross_accuracy: 0.577076677316294
epoch: 8 loss: 1.2868576342105866  cross_accuracy: 0.5502196485623003
epoch: 9 loss: 1.2395152413368224  cross_accuracy: 0.5973442492012779
epoch: 10 loss: 1.184288784456253  cross_accuracy: 0.6057308306709265
epoch: 11 loss: 1.1351302518367767  cross_accuracy: 0.5975439297124601
epoch: 12 loss: 1.0851659404277803  cross_accuracy: 0.6299920127795527
epoch: 13 loss: 1.0535165709495544  cross_accuracy: 0.6363817891373802
epoch: 14 loss: 1.021799927854538  cross_accuracy: 0.6478634185303515
epoch: 15 loss: 0.989635464167595  cross_accuracy: 0.6481629392971247
epoch: 16 loss: 0.9488472888708115  cross_accuracy: 0.6607428115015974
epoch: 17 loss: 0.927956880903244  cross_accuracy: 0.6685303514376997
epoch: 18 loss: 0.899216515827179  cross_accuracy: 0.6619408945686901
epoch: 19 loss: 0.8722259760141373  cross_accuracy: 0.6670327476038339
epoch: 20 loss: 0.8485360775470734  cross_accuracy: 0.6813099041533547
epoch: 21 loss: 0.8232667755842209  cross_accuracy: 0.6697284345047924
epoch: 22 loss: 0.8055496188163758  cross_accuracy: 0.6791134185303515
epoch: 23 loss: 0.7888633192539215  cross_accuracy: 0.6864017571884984
epoch: 24 loss: 0.7609185258626938  cross_accuracy: 0.6668330670926518
epoch: 25 loss: 0.7461527872562408  cross_accuracy: 0.6914936102236422
epoch: 26 loss: 0.7282886176586151  cross_accuracy: 0.6942891373801917
epoch: 27 loss: 0.7139228420138359  cross_accuracy: 0.6935902555910544
epoch: 28 loss: 0.691066848886013  cross_accuracy: 0.7048722044728435
epoch: 29 loss: 0.6743788960456848  cross_accuracy: 0.6932907348242812
epoch: 30 loss: 0.6620888277053834  cross_accuracy: 0.6980830670926518
epoch: 31 loss: 0.6429118315696716  cross_accuracy: 0.705870607028754
epoch: 32 loss: 0.6267222178936005  cross_accuracy: 0.7102635782747604
epoch: 33 loss: 0.6148069102644921  cross_accuracy: 0.7083666134185304
epoch: 34 loss: 0.5990119412183762  cross_accuracy: 0.705870607028754
epoch: 35 loss: 0.5762166425943375  cross_accuracy: 0.7103634185303515
epoch: 36 loss: 0.5708422023892402  cross_accuracy: 0.7084664536741214
epoch: 37 loss: 0.5514039075732231  cross_accuracy: 0.7138578274760383
epoch: 38 loss: 0.544144204711914  cross_accuracy: 0.7184504792332268
epoch: 39 loss: 0.5285530130267143  cross_accuracy: 0.7179512779552716
epoch: 40 loss: 0.5229645225703716  cross_accuracy: 0.7239416932907349
epoch: 41 loss: 0.5071207766771316  cross_accuracy: 0.7231429712460063
epoch: 42 loss: 0.49062882915735245  cross_accuracy: 0.7198482428115016
epoch: 43 loss: 0.4925255252182484  cross_accuracy: 0.7246405750798722
epoch: 44 loss: 0.47921654945015907  cross_accuracy: 0.7194488817891374
epoch: 45 loss: 0.46829964361190796  cross_accuracy: 0.7141573482428115
epoch: 46 loss: 0.45788230969309807  cross_accuracy: 0.7192492012779552
epoch: 47 loss: 0.4487300597310066  cross_accuracy: 0.7291333865814696
epoch: 48 loss: 0.4469346527099609  cross_accuracy: 0.7198482428115016
epoch: 49 loss: 0.43617580776810644  cross_accuracy: 0.7112619808306709
epoch: 50 loss: 0.4252628445267677  cross_accuracy: 0.71875
Done!
The max accuracy is 0.729133, when epoch is 47.
