ResNet18
epoch: 1 loss: 2.3700196899414063  cross_accuracy: 0.34065495207667734
epoch: 2 loss: 2.003009459209442  cross_accuracy: 0.397064696485623
epoch: 3 loss: 1.805637042427063  cross_accuracy: 0.44219249201277955
epoch: 4 loss: 1.6557868036270142  cross_accuracy: 0.4878194888178914
epoch: 5 loss: 1.53278896484375  cross_accuracy: 0.5279552715654952
epoch: 6 loss: 1.4427243329048156  cross_accuracy: 0.5565095846645367
epoch: 7 loss: 1.360770204925537  cross_accuracy: 0.5431309904153354
epoch: 8 loss: 1.287477008485794  cross_accuracy: 0.5972444089456869
epoch: 9 loss: 1.2406107308387757  cross_accuracy: 0.5970447284345048
epoch: 10 loss: 1.1831944714069367  cross_accuracy: 0.6089257188498403
epoch: 11 loss: 1.1353741080284119  cross_accuracy: 0.6222044728434505
epoch: 12 loss: 1.0923918467521667  cross_accuracy: 0.6282947284345048
epoch: 13 loss: 1.0532184209823607  cross_accuracy: 0.6319888178913738
epoch: 14 loss: 1.0162471554040908  cross_accuracy: 0.6345846645367412
epoch: 15 loss: 0.9844194347381592  cross_accuracy: 0.6390774760383386
epoch: 16 loss: 0.9557594574213027  cross_accuracy: 0.6539536741214057
epoch: 17 loss: 0.9254290809392929  cross_accuracy: 0.6594448881789138
epoch: 18 loss: 0.8965109448671341  cross_accuracy: 0.6597444089456869
epoch: 19 loss: 0.8741245901584626  cross_accuracy: 0.674520766773163
epoch: 20 loss: 0.8510333511590957  cross_accuracy: 0.6688298722044729
epoch: 21 loss: 0.8334895331859589  cross_accuracy: 0.6853035143769968
epoch: 22 loss: 0.7973881527423858  cross_accuracy: 0.6733226837060703
epoch: 23 loss: 0.7791991391420364  cross_accuracy: 0.6831070287539937
epoch: 24 loss: 0.7558169730901718  cross_accuracy: 0.6884984025559105
epoch: 25 loss: 0.7363040148854255  cross_accuracy: 0.6855031948881789
epoch: 26 loss: 0.7255068455338478  cross_accuracy: 0.6956869009584664
epoch: 27 loss: 0.7088034537315369  cross_accuracy: 0.6865015974440895
epoch: 28 loss: 0.687674421954155  cross_accuracy: 0.6953873801916933
epoch: 29 loss: 0.671958013856411  cross_accuracy: 0.7068690095846646
epoch: 30 loss: 0.6526384926199913  cross_accuracy: 0.7007787539936102
epoch: 31 loss: 0.6353890734076499  cross_accuracy: 0.6976837060702875
epoch: 32 loss: 0.6212979579210282  cross_accuracy: 0.7035742811501597
epoch: 33 loss: 0.6029875014543533  cross_accuracy: 0.7153554313099042
epoch: 34 loss: 0.5994198979973793  cross_accuracy: 0.7055710862619808
epoch: 35 loss: 0.5783074954271317  cross_accuracy: 0.713258785942492
epoch: 36 loss: 0.5737286961555481  cross_accuracy: 0.728035143769968
epoch: 37 loss: 0.5594783259391785  cross_accuracy: 0.7249400958466453
epoch: 38 loss: 0.5411894036531448  cross_accuracy: 0.7164536741214057
epoch: 39 loss: 0.5294852863192558  cross_accuracy: 0.7154552715654952
epoch: 40 loss: 0.5188624575197697  cross_accuracy: 0.7158546325878594
epoch: 41 loss: 0.5112553970336914  cross_accuracy: 0.7115615015974441
epoch: 42 loss: 0.4959147759795189  cross_accuracy: 0.7255391373801917
epoch: 43 loss: 0.48597935199737546  cross_accuracy: 0.7266373801916933
epoch: 44 loss: 0.47131005935668946  cross_accuracy: 0.71685303514377
epoch: 45 loss: 0.46463550246953966  cross_accuracy: 0.724241214057508
epoch: 46 loss: 0.4476204736173153  cross_accuracy: 0.7135583067092651
epoch: 47 loss: 0.4496282443881035  cross_accuracy: 0.7152555910543131
epoch: 48 loss: 0.43404433375597  cross_accuracy: 0.7214456869009584
epoch: 49 loss: 0.4250407973408699  cross_accuracy: 0.731629392971246
epoch: 50 loss: 0.42215768288969996  cross_accuracy: 0.7284345047923323
Done!
The max accuracy is 0.731629, when epoch is 49.
