ResNet18
epoch: 1 loss: 2.4241638991355896  cross_accuracy: 0.3231829073482428
epoch: 2 loss: 2.0782441633224487  cross_accuracy: 0.3832867412140575
epoch: 3 loss: 1.8783977931022644  cross_accuracy: 0.424620607028754
epoch: 4 loss: 1.729333884716034  cross_accuracy: 0.45517172523961663
epoch: 5 loss: 1.6069755380153656  cross_accuracy: 0.5063897763578274
epoch: 6 loss: 1.5156816525936128  cross_accuracy: 0.5296525559105432
epoch: 7 loss: 1.4369856874465943  cross_accuracy: 0.5273562300319489
epoch: 8 loss: 1.365457678747177  cross_accuracy: 0.5490215654952076
epoch: 9 loss: 1.3055546805381775  cross_accuracy: 0.5327476038338658
epoch: 10 loss: 1.2535063692569732  cross_accuracy: 0.5884584664536742
epoch: 11 loss: 1.202603325176239  cross_accuracy: 0.5582068690095847
epoch: 12 loss: 1.1646476463317872  cross_accuracy: 0.5997404153354633
epoch: 13 loss: 1.1204878033399581  cross_accuracy: 0.6075279552715654
epoch: 14 loss: 1.0887393878698348  cross_accuracy: 0.6294928115015974
epoch: 15 loss: 1.05031820063591  cross_accuracy: 0.6376797124600639
epoch: 16 loss: 1.0198777495622635  cross_accuracy: 0.62689696485623
epoch: 17 loss: 0.9866535704135895  cross_accuracy: 0.6422723642172524
epoch: 18 loss: 0.9625632630825043  cross_accuracy: 0.6349840255591054
epoch: 19 loss: 0.9349051369190216  cross_accuracy: 0.647064696485623
epoch: 20 loss: 0.908679708647728  cross_accuracy: 0.6640375399361023
epoch: 21 loss: 0.8869988065481186  cross_accuracy: 0.6628394568690096
epoch: 22 loss: 0.8632965901851654  cross_accuracy: 0.6670327476038339
epoch: 23 loss: 0.8378839662075043  cross_accuracy: 0.6611421725239617
epoch: 24 loss: 0.8229149082422257  cross_accuracy: 0.6705271565495208
epoch: 25 loss: 0.803158471441269  cross_accuracy: 0.6719249201277955
epoch: 26 loss: 0.7851122927308083  cross_accuracy: 0.6570487220447284
epoch: 27 loss: 0.7630913610458374  cross_accuracy: 0.6803115015974441
epoch: 28 loss: 0.7444827532529831  cross_accuracy: 0.678314696485623
epoch: 29 loss: 0.7241806943416595  cross_accuracy: 0.689297124600639
epoch: 30 loss: 0.7052201309680939  cross_accuracy: 0.6905950479233227
Done!
The max accuracy is 0.690595, when epoch is 30.
