ResNet50
epoch: 1 loss: 2.569774539470673  cross_accuracy: 0.27745607028753994
epoch: 2 loss: 2.250978658103943  cross_accuracy: 0.33017172523961663
epoch: 3 loss: 2.0869491095542907  cross_accuracy: 0.3791932907348243
epoch: 4 loss: 1.9444550353050232  cross_accuracy: 0.40315495207667734
epoch: 5 loss: 1.800973415851593  cross_accuracy: 0.46246006389776356
epoch: 6 loss: 1.6763391716480256  cross_accuracy: 0.4654552715654952
epoch: 7 loss: 1.574343479681015  cross_accuracy: 0.5046924920127795
epoch: 8 loss: 1.4719155099868775  cross_accuracy: 0.5273562300319489
epoch: 9 loss: 1.3909732253551483  cross_accuracy: 0.5623003194888179
epoch: 10 loss: 1.3245918463230133  cross_accuracy: 0.5736821086261981
epoch: 11 loss: 1.2549956712722778  cross_accuracy: 0.586361821086262
epoch: 12 loss: 1.2016163897991181  cross_accuracy: 0.6135183706070287
epoch: 13 loss: 1.1533107640266418  cross_accuracy: 0.6080271565495208
epoch: 14 loss: 1.106428374028206  cross_accuracy: 0.626797124600639
epoch: 15 loss: 1.0741566433906555  cross_accuracy: 0.6278953674121406
epoch: 16 loss: 1.0360922132968902  cross_accuracy: 0.6444688498402555
epoch: 17 loss: 0.9958704029560089  cross_accuracy: 0.6460662939297125
epoch: 18 loss: 0.9673606852769852  cross_accuracy: 0.6481629392971247
epoch: 19 loss: 0.9385798611402512  cross_accuracy: 0.6695287539936102
epoch: 20 loss: 0.9066501255512237  cross_accuracy: 0.6621405750798722
epoch: 21 loss: 0.8822181261539459  cross_accuracy: 0.6660343450479234
epoch: 22 loss: 0.8607620181560517  cross_accuracy: 0.6608426517571885
epoch: 23 loss: 0.8351442007780076  cross_accuracy: 0.6694289137380192
epoch: 24 loss: 0.8132815219163895  cross_accuracy: 0.6941892971246006
epoch: 25 loss: 0.7903495687007904  cross_accuracy: 0.6908945686900958
epoch: 26 loss: 0.7650853585004807  cross_accuracy: 0.6943889776357828
epoch: 27 loss: 0.7529490419268609  cross_accuracy: 0.6936900958466453
epoch: 28 loss: 0.7342419707775116  cross_accuracy: 0.6858027156549521
epoch: 29 loss: 0.7183354276180267  cross_accuracy: 0.693091054313099
epoch: 30 loss: 0.7057427474975586  cross_accuracy: 0.7009784345047924
Done!
The max accuracy is 0.700978, when epoch is 30.
