dense161
epoch	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	0.747500	0.597500	0.820000	0.620000	0.900000	0.790000	0.767500	0.890000	0.695000	0.742500	0.762500	0.762500	0.600000	0.615000	0.785000	0.690000	0.715000	0.917500	0.955000	0.460000	
1	0.717500	0.897500	0.802500	0.892500	0.887500	0.917500	0.790000	0.805000	0.630000	0.897500	0.852500	0.882500	0.785000	0.720000	0.870000	0.642500	0.515000	0.845000	0.860000	0.517500	
2	0.745000	0.807500	0.880000	0.847500	0.762500	0.945000	0.827500	0.912500	0.697500	0.897500	0.845000	0.730000	0.872500	0.862500	0.682500	0.637500	0.717500	0.877500	0.842500	0.810000	
3	0.707500	0.982500	0.955000	0.945000	0.742500	0.795000	0.890000	0.857500	0.772500	0.795000	0.867500	0.912500	0.757500	0.790000	0.877500	0.660000	0.705000	0.865000	0.712500	0.827500	
4	0.680000	0.925000	0.850000	0.970000	0.900000	0.825000	0.840000	0.890000	0.775000	0.775000	0.847500	0.890000	0.700000	0.642500	0.797500	0.637500	0.900000	0.912500	0.742500	0.840000	
5	0.765000	0.907500	0.925000	0.920000	0.865000	0.950000	0.830000	0.995000	0.707500	0.882500	0.837500	0.920000	0.890000	0.652500	0.845000	0.780000	0.692500	0.895000	0.882500	0.790000	
6	0.722500	0.962500	0.885000	0.917500	0.887500	0.922500	0.892500	0.842500	0.672500	0.877500	0.825000	0.942500	0.795000	0.745000	0.840000	0.817500	0.632500	0.895000	0.862500	0.697500	
7	0.870000	0.870000	0.912500	0.970000	0.850000	0.900000	0.875000	0.825000	0.775000	0.905000	0.840000	0.917500	0.812500	0.847500	0.857500	0.707500	0.620000	0.902500	0.870000	0.800000	
8	0.815000	0.835000	0.922500	0.925000	0.877500	0.910000	0.870000	0.977500	0.825000	0.880000	0.770000	0.840000	0.850000	0.705000	0.875000	0.732500	0.765000	0.900000	0.830000	0.797500	
9	0.735000	0.930000	0.905000	0.890000	0.962500	0.820000	0.867500	0.887500	0.845000	0.845000	0.865000	0.775000	0.830000	0.710000	0.835000	0.840000	0.800000	0.862500	0.865000	0.787500	
