resnet18
epoch	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	0.252500	0.135000	0.655000	0.452500	0.287500	0.030000	0.372500	0.137500	0.282500	0.485000	0.305000	0.080000	0.050000	0.000000	0.282500	0.252500	0.000000	0.462500	0.347500	0.100000	
1	0.320000	0.110000	0.655000	0.460000	0.375000	0.497500	0.285000	0.147500	0.507500	0.355000	0.537500	0.140000	0.190000	0.102500	0.260000	0.020000	0.002500	0.665000	0.507500	0.250000	
2	0.425000	0.260000	0.555000	0.385000	0.617500	0.172500	0.515000	0.602500	0.567500	0.555000	0.530000	0.265000	0.175000	0.087500	0.507500	0.157500	0.097500	0.572500	0.087500	0.137500	
3	0.355000	0.655000	0.495000	0.275000	0.525000	0.095000	0.547500	0.580000	0.435000	0.457500	0.707500	0.365000	0.077500	0.110000	0.672500	0.217500	0.132500	0.665000	0.362500	0.222500	
4	0.635000	0.375000	0.407500	0.035000	0.535000	0.495000	0.215000	0.472500	0.112500	0.510000	0.485000	0.412500	0.335000	0.117500	0.625000	0.287500	0.115000	0.840000	0.462500	0.537500	
5	0.127500	0.560000	0.280000	0.347500	0.500000	0.515000	0.555000	0.445000	0.170000	0.255000	0.775000	0.265000	0.237500	0.365000	0.815000	0.057500	0.570000	0.560000	0.617500	0.155000	
6	0.180000	0.340000	0.767500	0.567500	0.332500	0.507500	0.460000	0.590000	0.490000	0.657500	0.765000	0.232500	0.117500	0.407500	0.805000	0.310000	0.375000	0.747500	0.515000	0.325000	
7	0.360000	0.395000	0.675000	0.642500	0.582500	0.327500	0.650000	0.395000	0.162500	0.395000	0.530000	0.432500	0.112500	0.215000	0.292500	0.160000	0.845000	0.547500	0.550000	0.525000	
8	0.397500	0.530000	0.635000	0.487500	0.515000	0.255000	0.600000	0.560000	0.542500	0.270000	0.720000	0.542500	0.515000	0.332500	0.447500	0.055000	0.345000	0.685000	0.380000	0.747500	
9	0.257500	0.565000	0.677500	0.665000	0.700000	0.657500	0.495000	0.210000	0.097500	0.455000	0.640000	0.095000	0.162500	0.140000	0.597500	0.100000	0.417500	0.622500	0.847500	0.472500	
10	0.060000	0.765000	0.365000	0.632500	0.515000	0.467500	0.795000	0.172500	0.637500	0.702500	0.560000	0.305000	0.345000	0.352500	0.660000	0.210000	0.330000	0.612500	0.262500	0.830000	
11	0.497500	0.695000	0.732500	0.737500	0.497500	0.235000	0.532500	0.477500	0.455000	0.552500	0.705000	0.567500	0.322500	0.325000	0.497500	0.307500	0.312500	0.597500	0.855000	0.490000	
12	0.375000	0.667500	0.715000	0.705000	0.680000	0.485000	0.805000	0.470000	0.150000	0.610000	0.830000	0.652500	0.520000	0.162500	0.577500	0.280000	0.252500	0.790000	0.730000	0.570000	
13	0.315000	0.290000	0.662500	0.242500	0.662500	0.322500	0.667500	0.280000	0.447500	0.397500	0.727500	0.567500	0.170000	0.360000	0.927500	0.102500	0.630000	0.462500	0.375000	0.312500	
14	0.280000	0.272500	0.662500	0.667500	0.685000	0.517500	0.757500	0.460000	0.307500	0.415000	0.865000	0.542500	0.177500	0.440000	0.375000	0.480000	0.292500	0.572500	0.437500	0.750000	
15	0.405000	0.377500	0.842500	0.835000	0.437500	0.152500	0.665000	0.730000	0.280000	0.720000	0.817500	0.237500	0.150000	0.135000	0.385000	0.045000	0.337500	0.805000	0.717500	0.227500	
16	0.460000	0.265000	0.792500	0.595000	0.397500	0.700000	0.290000	0.687500	0.282500	0.417500	0.670000	0.477500	0.357500	0.192500	0.700000	0.745000	0.192500	0.750000	0.732500	0.312500	
17	0.630000	0.767500	0.445000	0.802500	0.737500	0.500000	0.632500	0.395000	0.137500	0.365000	0.832500	0.302500	0.427500	0.152500	0.655000	0.275000	0.515000	0.805000	0.665000	0.395000	
18	0.442500	0.660000	0.887500	0.525000	0.247500	0.372500	0.490000	0.615000	0.465000	0.537500	0.790000	0.517500	0.450000	0.397500	0.567500	0.310000	0.567500	0.877500	0.517500	0.615000	
19	0.350000	0.472500	0.707500	0.757500	0.597500	0.427500	0.757500	0.375000	0.197500	0.732500	0.505000	0.655000	0.235000	0.162500	0.932500	0.147500	0.590000	0.790000	0.700000	0.372500	
20	0.497500	0.690000	0.910000	0.837500	0.737500	0.722500	0.842500	0.600000	0.635000	0.797500	0.877500	0.645000	0.547500	0.550000	0.792500	0.537500	0.632500	0.900000	0.842500	0.672500	
21	0.515000	0.635000	0.865000	0.757500	0.847500	0.597500	0.822500	0.775000	0.585000	0.900000	0.812500	0.740000	0.642500	0.440000	0.822500	0.395000	0.607500	0.917500	0.692500	0.750000	
22	0.590000	0.600000	0.932500	0.647500	0.637500	0.762500	0.692500	0.642500	0.465000	0.815000	0.802500	0.640000	0.760000	0.532500	0.670000	0.665000	0.487500	0.935000	0.785000	0.600000	
23	0.562500	0.605000	0.875000	0.677500	0.722500	0.810000	0.672500	0.547500	0.722500	0.750000	0.845000	0.612500	0.587500	0.680000	0.730000	0.610000	0.660000	0.877500	0.737500	0.555000	
24	0.670000	0.607500	0.852500	0.770000	0.745000	0.710000	0.630000	0.522500	0.532500	0.802500	0.872500	0.457500	0.550000	0.802500	0.862500	0.420000	0.585000	0.795000	0.810000	0.612500	
