resnet18
epoch	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	0.285000	0.182500	0.850000	0.162500	0.102500	0.245000	0.187500	0.260000	0.007500	0.230000	0.622500	0.005000	0.085000	0.015000	0.187500	0.340000	0.105000	0.527500	0.007500	0.332500	
1	0.285000	0.170000	0.852500	0.397500	0.302500	0.100000	0.360000	0.252500	0.327500	0.550000	0.550000	0.190000	0.340000	0.020000	0.457500	0.115000	0.085000	0.697500	0.170000	0.102500	
2	0.165000	0.562500	0.640000	0.365000	0.367500	0.497500	0.582500	0.197500	0.515000	0.515000	0.787500	0.225000	0.015000	0.037500	0.120000	0.147500	0.085000	0.775000	0.250000	0.182500	
3	0.422500	0.060000	0.662500	0.295000	0.697500	0.430000	0.260000	0.620000	0.000000	0.297500	0.672500	0.345000	0.072500	0.112500	0.645000	0.075000	0.177500	0.790000	0.767500	0.340000	
4	0.330000	0.220000	0.625000	0.577500	0.517500	0.447500	0.687500	0.472500	0.360000	0.670000	0.580000	0.092500	0.552500	0.062500	0.397500	0.545000	0.350000	0.715000	0.435000	0.480000	
5	0.242500	0.685000	0.632500	0.805000	0.685000	0.342500	0.505000	0.082500	0.330000	0.452500	0.762500	0.472500	0.085000	0.175000	0.257500	0.140000	0.217500	0.847500	0.670000	0.392500	
6	0.155000	0.375000	0.567500	0.335000	0.762500	0.445000	0.812500	0.160000	0.560000	0.677500	0.475000	0.502500	0.047500	0.487500	0.410000	0.135000	0.532500	0.400000	0.520000	0.422500	
7	0.467500	0.482500	0.680000	0.272500	0.567500	0.487500	0.577500	0.440000	0.357500	0.560000	0.670000	0.417500	0.182500	0.087500	0.860000	0.612500	0.215000	0.885000	0.365000	0.335000	
8	0.162500	0.570000	0.702500	0.775000	0.832500	0.197500	0.442500	0.290000	0.207500	0.425000	0.737500	0.505000	0.285000	0.245000	0.732500	0.140000	0.295000	0.785000	0.295000	0.327500	
9	0.420000	0.315000	0.687500	0.552500	0.417500	0.512500	0.740000	0.362500	0.397500	0.622500	0.770000	0.237500	0.515000	0.335000	0.582500	0.220000	0.187500	0.837500	0.900000	0.260000	
